timestamp,vehicle_type,cumulative_count
2025-08-22 01:19:27,car,1
2025-08-22 01:19:27,car,2
2025-08-22 01:19:31,truck,1
2025-08-22 01:19:31,car,3
2025-08-22 01:19:34,car,4
2025-08-22 01:19:35,car,5
2025-08-22 01:19:39,car,6
2025-08-22 01:19:40,car,7
2025-08-22 01:19:42,car,8
2025-08-22 01:19:46,car,9
2025-08-22 01:19:46,bus,1
2025-08-22 01:19:50,truck,2
2025-08-22 01:19:51,car,10
2025-08-22 01:19:55,car,11
2025-08-22 01:19:55,car,12
2025-08-22 01:19:55,car,13
2025-08-22 01:19:59,car,14
2025-08-22 01:20:00,car,15
2025-08-22 01:20:04,car,16
2025-08-22 01:20:05,truck,3
2025-08-22 01:20:06,bus,2
2025-08-22 01:20:07,motorbike,1
2025-08-22 01:20:09,car,17
2025-08-22 01:20:11,car,18
2025-08-22 01:20:11,car,19
2025-08-22 01:20:14,car,20
2025-08-22 01:20:16,car,21
2025-08-22 01:20:16,car,22
2025-08-22 01:20:19,car,23
2025-08-22 01:20:19,car,24
2025-08-22 01:20:20,car,25
2025-08-22 01:20:21,car,26
2025-08-22 01:20:23,car,27
2025-08-22 01:20:25,car,28
2025-08-22 01:20:25,car,29
2025-08-22 01:20:26,car,30
2025-08-22 01:20:29,car,31
2025-08-22 01:20:29,truck,4
2025-08-22 01:20:30,truck,5
2025-08-22 01:20:33,car,32
2025-08-22 01:20:33,car,33
2025-08-22 01:20:34,car,34
2025-08-22 01:20:39,bus,3
2025-08-22 01:20:39,car,35
2025-08-22 01:20:44,car,36
2025-08-22 01:20:45,car,37
2025-08-22 01:20:47,car,38
2025-08-22 01:20:48,car,39
2025-08-22 01:20:50,car,40
2025-08-22 01:20:50,car,41
2025-08-22 01:20:53,car,42
2025-08-22 01:20:53,car,43
2025-08-22 01:20:53,truck,6
2025-08-22 01:20:57,car,44
2025-08-22 01:20:59,bus,4
2025-08-22 01:20:59,car,45
2025-08-22 01:21:00,car,46
2025-08-22 01:21:02,car,47
2025-08-22 01:21:02,truck,7
2025-08-22 01:21:06,car,48
2025-08-22 01:21:10,car,49
2025-08-22 01:21:12,car,50
2025-08-22 01:21:13,car,51
2025-08-22 01:21:15,car,52
